collocate,window_freq,pmi,t_score,global_freq
plastered,1,8.783433318107225,0.996987993808654,2
distraint,1,8.783433318107225,0.996987993808654,2
evad,1,8.783433318107225,0.996987993808654,2
slur,1,8.783433318107225,0.996987993808654,2
troubled,1,8.783433318107225,0.996987993808654,2
responsiv,1,8.783433318107225,0.996987993808654,2
bullshit,1,8.783433318107225,0.996987993808654,2
climactic,1,8.783433318107225,0.996987993808654,2
mega,1,8.783433318107225,0.996987993808654,2
unparalleled,1,8.783433318107225,0.996987993808654,2
poignant,1,8.783433318107225,0.996987993808654,2
26,1,8.36839581882838,0.9954819907129809,3
playful,1,8.36839581882838,0.9954819907129809,3
packag,1,8.36839581882838,0.9954819907129809,3
committing,1,8.36839581882838,0.9954819907129809,3
simplicity,1,8.36839581882838,0.9954819907129809,3
nostalgia,1,8.36839581882838,0.9954819907129809,3
tangled,1,8.36839581882838,0.9954819907129809,3
tomorrow,1,8.36839581882838,0.9954819907129809,3
platonic,1,8.36839581882838,0.9954819907129809,3
math,1,8.36839581882838,0.9954819907129809,3
drudgery,1,8.36839581882838,0.9954819907129809,3
ludo,1,8.36839581882838,0.9954819907129809,3
connoisseur,1,8.36839581882838,0.9954819907129809,3
alternat,1,8.36839581882838,0.9954819907129809,3
astonishing,1,8.36839581882838,0.9954819907129809,3
met,1,8.36839581882838,0.9954819907129809,3
recursiv,1,8.36839581882838,0.9954819907129809,3
punish,1,8.36839581882838,0.9954819907129809,3
teeth,1,8.36839581882838,0.9954819907129809,3
toronto,1,8.36839581882838,0.9954819907129809,3
sane,1,8.36839581882838,0.9954819907129809,3
recycled,1,8.36839581882838,0.9954819907129809,3
sinner,1,8.36839581882838,0.9954819907129809,3
verification,1,8.36839581882838,0.9954819907129809,3
sh,1,8.36839581882838,0.9954819907129809,3
linking,1,8.36839581882838,0.9954819907129809,3
replaced,1,8.36839581882838,0.9954819907129809,3
remotely,1,8.36839581882838,0.9954819907129809,3
wrenching,1,8.36839581882838,0.9954819907129809,3
