collocate,window_freq,pmi,t_score,global_freq
vorweg,2,7.483934201366109,1.404746477196807,4
chez,2,7.483934201366109,1.404746477196807,4
kitabını,2,7.220899795532315,1.402379705902735,5
born,2,7.220899795532315,1.402379705902735,5
guiño,2,7.220899795532315,1.402379705902735,5
hasn't,2,7.220899795532315,1.402379705902735,5
existentialist,2,7.220899795532315,1.402379705902735,5
klassisch,2,6.998507374195867,1.400012934608663,6
dant,2,6.998507374195867,1.400012934608663,6
odyssey,2,6.998507374195867,1.400012934608663,6
nombr,2,6.998507374195867,1.400012934608663,6
twilight,2,6.998507374195867,1.400012934608663,6
c'è,2,6.998507374195867,1.400012934608663,6
enthusiast,2,6.998507374195867,1.400012934608663,6
ufak,2,6.998507374195867,1.400012934608663,6
nerd,2,6.805862296253471,1.3976461633145911,7
l'univer,2,6.805862296253471,1.3976461633145911,7
devil,2,6.805862296253471,1.3976461633145911,7
hra,2,6.805862296253471,1.3976461633145911,7
прохождение,2,6.805862296253471,1.3976461633145911,7
sogar,2,6.805862296253471,1.3976461633145911,7
erinnert,2,6.805862296253471,1.3976461633145911,7
passing,2,6.805862296253471,1.3976461633145911,7
весьма,2,6.805862296253471,1.3976461633145911,7
striking,2,6.805862296253471,1.3976461633145911,7
komm,2,6.805862296253471,1.3976461633145911,7
travail,2,6.805862296253471,1.3976461633145911,7
eigen,2,6.805862296253471,1.3976461633145911,7
literatura,2,6.805862296253471,1.3976461633145911,7
aurait,2,6.805862296253471,1.3976461633145911,7
previously,2,6.635937294811159,1.395279392020519,8
document,2,6.635937294811159,1.395279392020519,8
possui,2,6.635937294811159,1.395279392020519,8
shakespear,2,6.635937294811159,1.395279392020519,8
file,2,6.635937294811159,1.395279392020519,8
autor,2,6.483934201366109,1.392912620726447,9
bzw,2,6.483934201366109,1.392912620726447,9
mischung,2,6.483934201366109,1.392912620726447,9
proud,2,6.483934201366109,1.392912620726447,9
relevant,2,6.483934201366109,1.392912620726447,9
cucaracha,2,6.483934201366109,1.392912620726447,9
livro,2,6.483934201366109,1.392912620726447,9
whos,2,6.483934201366109,1.392912620726447,9
çünkü,2,6.483934201366109,1.392912620726447,9
vagu,2,6.483934201366109,1.392912620726447,9
romanc,2,6.346430677616174,1.3905458494323752,10
mag,2,6.346430677616174,1.3905458494323752,10
realism,2,6.346430677616174,1.3905458494323752,10
esser,2,6.346430677616174,1.3905458494323752,10
spirit,2,6.346430677616174,1.3905458494323752,10
named,2,6.346430677616174,1.3905458494323752,10
depressing,2,6.220899795532315,1.3881790781383032,11
vale,2,6.220899795532315,1.3881790781383032,11
zone,2,6.220899795532315,1.3881790781383032,11
sag,2,6.220899795532315,1.3881790781383032,11
apena,2,6.105422578112379,1.3858123068442312,12
há,2,6.105422578112379,1.3858123068442312,12
является,2,6.105422578112379,1.3858123068442312,12
zwar,2,6.105422578112379,1.3858123068442312,12
legal,2,5.998507374195867,1.3834455355501594,13
référenc,2,5.998507374195867,1.3834455355501594,13
send,2,5.998507374195867,1.3834455355501594,13
jogabilidad,2,5.898971700644952,1.381078764256087,14
já,2,5.898971700644952,1.381078764256087,14
nam,2,5.898971700644952,1.381078764256087,14
içind,2,5.898971700644952,1.381078764256087,14
via,2,5.805862296253471,1.3787119929620153,15
servic,2,5.805862296253471,1.3787119929620153,15
sui,2,5.805862296253471,1.3787119929620153,15
asid,2,5.805862296253471,1.3787119929620153,15
bastant,2,5.718399455003132,1.3763452216679433,16
reminiscent,2,5.718399455003132,1.3763452216679433,16
leider,2,5.718399455003132,1.3763452216679433,16
tl,2,5.718399455003132,1.3763452216679433,16
este,2,5.718399455003132,1.3763452216679433,16
bureaucracy,2,5.635937294811159,1.3739784503738712,17
poco,2,5.635937294811159,1.3739784503738712,17
bile,2,5.635937294811159,1.3739784503738712,17
nada,2,5.557934782809886,1.3716116790797994,18
depression,2,5.557934782809886,1.3716116790797994,18
offic,2,5.483934201366109,1.3692449077857274,19
pineappl,2,5.483934201366109,1.3692449077857274,19
surrealism,2,5.483934201366109,1.3692449077857274,19
understanding,2,5.483934201366109,1.3692449077857274,19
tien,2,5.483934201366109,1.3692449077857274,19
nor,2,5.483934201366109,1.3692449077857274,19
basic,2,5.483934201366109,1.3692449077857274,19
portal,2,5.483934201366109,1.3692449077857274,19
muy,2,5.413544873474711,1.3668781364916553,20
